app,view,panel,classification,text,"app_version",disabled
"SPL-247","Top Users",sparkline,Web,,"index=* sourcetype=*access*
| stats sparkline count by username
| sort -count
| head 10",0
"SPL-251","Return the 20 most common values of the url field",url,Web,"Return the 20 most common values of the ""url"" field.","index=* sourcetype=*access*
| top limit=20 url",0
"SPL-252","Session Hijacking report/alert","iis,transaction",Security,,"index=* sourcetype=*access*
| transaction JSESSIONID  #(JSESSIONID) This/these field/s must exist or edit to make search valid.
| where mvcount(clientip)>1  #(clientip) This/these field/s must exist or edit to make search valid.
| table clientip, JSESSIONID",0
"SPL-254","Hits by host for last 7 days","hits,host",Web,,"index=* sourcetype=*access* earliest = -7d@d latest = now
| timechart count by host",0
"SPL-255","Hits by Host without Internal access for last 7 days","access,host",Web,,"index=* sourcetype=*access* earliest = -7d@d latest = now clientip != 192*
| timechart count by host",0
"SPL-256","Traffic with Bad HTTP status for last 7 days",status,Web,,"index=* sourcetype=*access* earliest = -7d@d latest = now status>300
| timechart count BY status",0
"SPL-257","Top pages by bad HTTP status for last 7 days","bad,status",Web,,"index=* sourcetype=*access* earliest = -7d@d latest = now status>=300
| stats dc(clientip) as ""unique ips"" count as ""total count"" by uri, status",0
"SPL-258","Unique Visitors",unique,Web,,"index=* sourcetype=*access* earliest=-10d@d latest=now
| timechart dc(clientip) AS unique_visitors by host",0
"SPL-259","Who has accessed in the last 7 days",host,Web,,"index=* sourcetype=*access* earliest=-7d@d latest=now
| timechart count by host",0
"SPL-260","Traffic with Good HTTP status for last 7 days",status,Web,,"index=* sourcetype=*access* earliest=-7d@d latest=now status>100 status<300
| timechart count BY status",0
"SPL-261","Account Enabled in Windows from a previously disabled state",windows,Other,"Windows Server 2008 and newer","index=* sourcetype=WinEventLog:Security (EventCode=4722) #(WinEventLog:Security) This/these sourcetype/s must  exist or edit to make search valid.
| eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""ID:\s+\w+\\\(?<sourceaccount>\S+)\s+""
| rex ""Account:\s+Security\sID:\s+\w+\\\(?<targetaccount>\S+)\s+""
| stats count by Date, sourceaccount, targetaccount, Keywords, host
| rename sourceaccount as ""Source Account""
| rename targetaccount as ""Target Account""
| sort - Date",0
"SPL-262","Accounts deleted within 24 hours of creation Windows 2008",wineventlog,Security,"","index=* sourcetype=WinEventLog:Security (EventCode=4726 OR EventCode=4720)
|eval Date=strftime(_time, ""%Y/%m/%d"")
|rex ""Subject:\s+\w+\s\S+\s+\S+\s+\w+\s\w+:\s+(?<SourceAccount>\S+)""
| rex ""Target\s\w+:\s+\w+\s\w+:\s+\S+\s+\w+\s\w+:\s+(?<DeletedAccount>\S+)""
| rex ""New\s\w+:\s+\w+\s\w+:\s+\S+\s+\w+\s\w+:\s+(?<NewAccount>\S+)""
| eval SuspectAccount=coalesce(DeletedAccount,NewAccount)
| transaction SuspectAccount startswith=""EventCode=4720"" endswith=""EventCode=4726"" |eval duration=round(((duration/60)/60)/24, 2)
| eval Age=case(duration<=1, ""Critical"", duration>1 AND duration<=7, ""Warning"", duration>7, ""Normal"")
| table Date, index, host, SourceAccount, SuspectAccount, duration, Age
| rename duration as ""Days Account was Active"" | sort + ""Days Account was Active""",0
"SPL-263","Time between rights granted and rights revoked: 2003 and older","windows,wineventlog",Security,,"index=* sourcetype=WinEventLog:Security (EventCode=608 OR EventCode=609)
| rex ""Message=User\sRight\sAssigned:\s+User\sRight:\s+(?\w+)""
| rex ""Message=User\sRight\sRemoved:\s+User\sRight:\s+(?\w+)""
| eval Rights=coalesce(RightGranted,RightRemoved)
| eval status=case(EventCode=608, ""New Rights Granted by:"", EventCode=609, ""Rights Removed by:"")
| transaction Rights user startswith=""Assigned"" endswith=""Removed""
| where duration > 0
| eval duration = duration/60 |eval n=round(duration,2)
| eval Date=strftime(_time, ""%Y/%m/%d"")
| table Date, host, status, User, user, Rights, n
| rename User as ""Source Account""
| rename user as ""Target Account""
| rename n as ""Minutes between Rights Granted Then Removed""
| sort - date",0
"SPL-264","Account Enabled in Windows from a previously disabled state","windows,wineventlog",Security,"","index=* sourcetype=WinEventLog:Security (EventCode=626) #(WinEventLog:Security) This/these sourcetype/s must  exist or edit to make search valid.
| eval Date=strftime(_time, ""%Y/%m/%d"")
| stats count by Date, Caller_User_Name, Target_Account_Name, Type, host #(Date, Caller_User_Name, Target_Account_Name, Type, host) This/these field/s must exist or edit to make search valid.
| sort - Date",0
"SPL-265","Accounts deleted within 24 hours of creation Windows 2003","windows,wineventlog",Security,"","index=* sourcetype=WinEventLog:Security (EventCode=630 OR EventCode=624) |eval Date=strftime(_time, ""%Y/%m/%d"") | transaction Target_Account_Name startswith=""EventCode=624"" endswith=""EventCode=630"" |eval duration=round(((duration/60)/60)/24, 2) | eval Age=case(duration<=1, ""Critical"", duration>1 AND duration<=7, ""Warning"", duration>7, ""Normal"")| table Date, index, host, Caller_User_Name, Target_Account_Name, duration, Age | rename duration as ""Days Account was Active"" | sort - Date",0
"SPL-266","Accounts Deleted via EventID’s that Correspond with Post XP/2003 Operating Systems",windows,Security,"This query will search for accounts deleted via EventID’s that correspond with post XP/2003 operating systems. It will output the admin account, account deleted, details about the action, and the machine that the account deletion took place on.","index=* sourcetype=WinEventLog:Security (EventCode=630)
| eval Date=strftime(_time, ""%Y/%m/%d"")
| stats count by User, Target_Account_Name, name, host, index Date
| rename User as ""Administrator Account""
| rename Target_Account_Name as ""Account Name Deleted""
| rename name as ""Detailed Information""
| rename host as ""Computer the Account was Created on""
| rename index as ""Index of origin""| sort - Date",0
"SPL-267","Unusual outbound activity using a high number of DNS requests",dns,Security,"Occurring from a particular client compared to a baseline. It’s possible advanced threat communication (instruction, stealing data) via the DNS protocol is being used. ","index=* sourcetype=dns       #(dns) Make sure that this/these sourcetype/s exist or edit to make search valid.
| stats count(clientip) AS Requests by clientip #(clientip) This/these field/s must exist or edit to make search valid.
| sort - Requests",0
"SPL-268","Unusual outbound activity using a High number of same-sized DNS requests",dns,Security,"From an internal host, patterns of same-sized DNS requests which can evidence advanced threat communication (instruction/data theft) using DNS.","index=* sourcetype=dns #(dns) Make sure that this/these sourcetype/s exist or edit to make search valid.
| eval Length=len(query)
| stats count(clientip) by Length #(clientip) This/these field/s must exist or edit to make search valid.
| sort – Length",0
"SPL-269","Total Unique Browsers detected in IIS logs",iis,Web,"The following Splunk search query will show a count of unique browsers (calculation to include version) that hit a given website within IIS logs:","index=* sourcetype=iis
| stats dc(cs_User_Agent)",0
"SPL-270","Repeated Unsuccessful Logon Attempts in Linux","fail,linux_secure,login",Security,,"index=* sourcetype=linux_secure
| eval Date=strftime(_time, ""%Y/%m/%d"")
| rex "".*:\d{2}\s(?<hostname>\S+)""
| rex ""gdm\S+\sauthentication\s(?<status>\w+)""
| rex ""\suser[^'](?<User>\S+\w+)""
| search status=failure
| stats count as fails by Date, User, hostname
| eval ""Alert Level""=case(fails>=50, ""Critical"", fails<50 AND fails>=20, ""Warning"", fails<20, ""Normal"")
| sort - fails
| rename fails as ""Failed Logon Attempts""
| rename User as ""Account in Question""",0
"SPL-272","Number of Hosts the Root Account was Detected on","hosts,root",SPL,"The following splunk query example will return the total number of hosts the Root account was detected on  in a given time range *NOTE* if the host field is being auto-extracted (for instance if you are using a universal forwarder) you will not need the regex command and can call upon the auto extracted fieldname […]","index=* sourcetype=linux_secure
| rex "".*:\d{2}\s(?<hostname>\S+)""
| rex ""\suser[^'](?<User>\S+\w+)""
| search User=""root"" | stats dc(hostname)",0
"SPL-273","List of hosts in a Linux Environment","linux_secure",Security,"If you are using a universal forwarder, this field will be autoextracted as host. ","index=* sourcetype=linux_secure
| rex "".*:\d{2}\s(?<hostname>\S+)""
| stats count by hostname",0
"SPL-274","Top 10 most active hosts in a Linux Environment","linux_secure,rex",Security,"if using a universal forwarder, rex isn't needed, this will be extracted as host","index=* sourcetype=linux_secure
| rex "".*:\d{2}\s(?<hostname>\S+)""
| top limit=10 hostname",0
"SPL-275","Count of Unique users in a linux environment ","linux_secure",Security,,"index=* sourcetype=linux_secure
| rex ""\suser[^'](?<User>\S+\w+)""
| stats dc(User)",0
"SPL-276","Top 10 most active users in Linux","linux_secure",Security,,"index=* sourcetype=linux_secure
| rex ""\suser[^'](?<User>\S+\w+)""
| top limit=10 User",0
"SPL-277","Linux Logons: Failed","fail,linux,login",Security,,"index=* sourcetype=linux_secure
| rex ""\w{3}\s\d{1,2}\s\d{2}:\d{2}:\d{2}\s\S+\s(?<session>gdm-\w+)\S:\s""
| search session=gdm-password
| rex ""\w{3}\s\d{1,2}\s\d{2}:\d{2}:\d{2}\s(?<hostname>\S+)\s.+\Sgdm-password:auth\S:\s(?<authstatus>\w+\s\w+);\s.+user=(?<username>\S+)""
| search authstatus=""authentication failure""
| timechart count(username)",0
"SPL-278","Linux Logons: Successful","linux_secure",Security,,"index=* sourcetype=linux_secure
| rex ""\w{3}\s\d{1,2}\s\d{2}:\d{2}:\d{2}\s\S+\s(?<session>gdm-\w+)\S:\s""
| search session=gdm-password
| rex ""\w{3}\s\d{1,2}\s\d{2}:\d{2}:\d{2}\s(?<hostname>\S+)\s.+\Sgdm-password:auth\S:\s(?<authstatus>\w+\s\w+);\s.+user=(?<username>\S+)""
| search authstatus=""authentication success""
| timechart count(username)",0
"SPL-279","List of user accounts in a linux environment","linux_secure",Security,,"index=* sourcetype=linux_secure #(linux_secure) This/these sourcetype/s exist or edit to make search valid.
| rex ""\suser[^'](?<User>\S+\w+)""
| stats count by User",0
"SPL-280","Escaltion of Privs via SU in Linux: ","linux_secure",Security,,"index=* sourcetype=linux_secure source=""/var/log/*"" ""su: ("" #(linux_secure) This/these sourcetype/s exist or edit to make search valid.
| eval Date=strftime(_time, ""%Y/%m/%d"")
| rex "".*:\d{2}\s(?<hostname>\S+)""
| rex ""su:\s\Sto\sroot\S\s(?<SU>\S+)""
| stats  count by Date, hostname, SU
| rename  count as ""Occurrences""
| rename  SU as ""Account with Escalated Privileges"" | sort - Date",0
"SPL-281","Real Time Users","realtime,tag,users,web",Web,,"index=* tag=web
| timechart dc(clientip) AS unique_visitors by host",0
"SPL-282","Does a distinct on data by its shape (punct). punct is the skeleton of the event",punct,Miscellaneous,,"index=INDEX sourcetype=SOURCETYPE
| dedup punct",0
"SPL-283","Rare Punctuation by Host","punct,rare",SPL,,"index=INDEX sourcetype=SOURCETYPE
| err* OR fail* OR crit* OR fatal* OR except* | rex field=punct ""(?<smallpunct>.{5})""
| eval smallpunct= ""*"" + smallpunct
| stats first(_raw) as example count by smallpunct
| sort -count | fields smallpunct,count,example",0
"SPL-284","Request Duration Deviation Critical (processing_time)",duration,Web,,"index=INDEX sourcetype=SOURCETYPE
| eval processingTime = tonumber(trim(processing_time, ""ms""))
| eval formattedTime = strftime(_time, ""%Y%m%d"")
| eval processingTimeBase = if (formattedTime = ""20121012"", processingTime, null)
| eval processingTimeNow = if (formattedTime = ""20121013"", processingTime, null)
| stats avg(processingTimeBase) as avgProcessingTimeBase, avg(processingTimeNow) as avgProcessingTimeNow by request_type
| eval diff = avgProcessingTimeNow - avgProcessingTimeBase
| eval pctChange = round(diff / avgProcessingTimeBase, 3) * 100
| where pctChange > 10000",0
"SPL-285","Find the count of a number of times something happened for ACTORX VS ALLACTORS","count,percentage",Security,"Shows the ACTORCOUNT and its percentage to the whole.","index=INDEX sourcetype=SOURCETYPE
| eventstats count as ""total_count""
| eventstats count as ""variable_count"" by YOURVARIABLE
| eval percent=(variable_count/total_count)*100
| stats values(variable_count), values(percent) as percent by YOURVARIABLE",0
"SPL-286","Deriving Total Bytes",convert,Miscellaneous,,"index=INDEX sourcetype=SOURCETYPE
| stats sum(total_bytes) as TotalBytes
| eval MB=(TotalBytes)/1048576",0
"SPL-287","Compute the product of the average CPU and average MEM each minute for each host","cpu,mem,os,timechart","Resource_Usage","","index=INDEX sourcetype=SOURCETYPE
| timechart span=1m
| eval(avg(CPU) * avg(MEM)) by host",0
"SPL-288","Timewrap Command Example",timewrap,Commands,"Use this after a 'timechart' command, and compare week-over-week. Or use 'h' (hour), 'w' (week), 'm' (month), 'q' (quarter), 'y' (year).  Replace the wildcard * and or field names to be applicable to your data set(s.)","index=INDEX sourcetype=SOURCETYPE
| timewrap 1w",0
"SPL-289","Punct example:2","error,punct,pwn",Miscellaneous,,"index=INDEX sourcetype=SOURCETYPE  err* OR fail* OR crit* OR fatal* OR except*
| rex field=punct ""(?<smallpunct>.{5})""
| eval smallpunct= ""*"" + smallpunct
| stats first(_raw) as example count by smallpunct
| sort -count
| fields smallpunct,count,example",0
"SPL-290B","What you Don't Know Part2","errors,known,output",SPL,"Outputting of known events to a .csv file
Search #2  Scheduled to compare recent errors with table of known errors: I tagged all errors that I found as known and then the search became:
err* OR fail* OR crit* OR down NOT tag=known","index=INDEX sourcetype=SOURCETYPE FIELD=*
| dedup FIELD
| search NOT [inputlookup known_errors.csv
| fields +
| dedup FIELD]",0
"SPL-290A","What you Don't Know Part 1","errors,known,output",SPL,"(Outputting of known events to a .csv file)
Search #1  Scheduled to populate ""known errors"" table.","index=INDEX sourcetype=SOURCETYPE FIELD=*
| fields + FIELD
| dedup FIELD
| outputlookup known_errors.csv",0
"SPL-292","Punct example:1","error,punct",Miscellaneous,,"index=INDEX sourcetype=SOURCETYPE err* OR fail* OR crit* OR down OR fatal OR except*
| rare punct",0
"SPL-293","Unusual/short file names used by hackers to avoid detection","endpoint,system",Security,,"index=YOURINDEX
| eval file_length=len(file)       #(file) This/these field/s must exist or edit to make search valid.
| where file_length < 4",0
"SPL-294","Process List via Tasklist in Microsoft Windows or Linux ps command",process,Security,,"index=YOURINDEX
| stats dc(host) by process
| sort dc(host)",0
"SPL-295","Splunk Server Restart Duration","duration,pwn,splunkd",Internal,,"index=_audit (action=""splunkShuttingDown"" OR action=""splunkStarting"")
| eval Date=strftime(_time, ""%Y/%m/%d"") | transaction splunk_server startswith=action=""splunkShuttingDown"" endswith=action=""splunkStarting""
| eval duration=round(duration/60, 2)
| table Date splunk_server duration
| rename duration as ""Splunk Restart Duration"" splunk_server as ""Splunk Server""",0
"SPL-296","User training for overall search best practices","audit,search",Internal,"e.g. specifying indexes/sourcetypes, when wildcards are appropriate, and using proper time ranges).","index=_audit [|rest /services/server/info splunk_server=local
| fields host]  action=search user=* user!=splunk-system-user search_id=* (info=granted OR info=completed)
|rex field=apiStartTime ""'(?<start_time>[^']+)'""
|rex field=apiEndTime ""'(?<end_time>[^']+)'""
|rex ""search\=(?<search_string>.+)\,\sautojoin""
|eval range=if(start_time==""ZERO_TIME"",""All Time"", tostring(strptime(end_time, ""%a %b %d %H:%M:%S %Y"") - strptime(start_time, ""%a %b %d %H:%M:%S %Y""),""duration""))
|eval range2=if(start_time==""ZERO_TIME"",""All Time"", strptime(end_time, ""%a %b %d %H:%M:%S %Y"") - strptime(start_time, ""%a %b %d %H:%M:%S %Y""))
|stats max(event_count) AS event_count values(start_time) AS ""Search Earliest"" values(end_time) AS ""Search Latest"" count values(range) AS range values(range2) AS range2 values(search) AS Search values(user) AS User max(total_run_time) AS run_time(sec) by search_id savedsearch_name
| convert ctime(*Time) ctime(""Search Start"") ctime(""Search End"")
|where count>1 |rename search_id AS SID range AS ""Search Range""
| eval ""Run Time""=tostring('run_time(sec)',""duration"")
| eval ""Overran?""=if('run_time(sec)'>range2,""Overran its range!!!"", ""NO"")
| eval SID = trim(SID, ""'"")
| table SID savedsearch_name event_count ""Search Earliest"" ""Search Latest"" ""Search Range"" Search User ""run_time(sec)"" ""Overran?"" ""Run Time""
| sort - ""Run Time""",0
"SPL-297","Shows users by search time","audit,user",Internal,,"index=_audit action=search (id=* OR search_id=*)
| eval search_id = if(isnull(search_id), id, search_id)
| replace '*' with * in search_id
| rex ""search='(?<search>.*?)', autojoin""
| search search_id!=scheduler_*
| convert num(total_run_time)
| rex ""\,\s+user=(?<user>\S+),""
| eval user = if(user=""n/a"", null(), user)
| stats min(_time) as _time first(user) as user max(total_run_time) as total_run_time first(search) as search by search_id host
| search search=search* search!=*_internal* search!=*_audit*
| stats median(total_run_time) as ""Median search time"" perc95(total_run_time) as ""95th Percentile search time"" sum(total_run_time) as ""Total search time"" count as ""Search count"" max(_time) as ""Last use"" by user host
| fieldformat ""Last use"" = strftime('Last use', ""%F %T.%Q %:z"")
| rename host AS ""Search Head""
| sort - ""Median search time""",0
"SPL-298","Splunk Query Count by users","count,pwn,users",Internal,,"index=_audit search=* NOT (search_id='scheduler* OR search_id='Summary*) user=admin
| timechart span=1d count by user usenull=f",0
"SPL-299","Internal Splunk User Modifications",audit,Security,"This query will search the internal audit sourcetype of splunk and report on any user modification attempts, both success and fail.","index=_audit sourcetype=audittrail action=edit_user
| eval Date=strftime(_time, ""%Y/%m/%d"")
| where user!=object
| stats count by user, info, object, Date
| rename user as ""Authenticated User""
| rename info as ""Success Status""
| rename object as ""Modified Account""
| sort - count",0
"SPL-300","Splunk User Search Activity","pwn,user",Internal,,"index=_audit splunk_server=local action=search (id=* OR search_id=*)
| eval search_id = if(isnull(search_id), id, search_id)
| replace '*' with * in search_id
| rex ""search='search\s(?<search>.*?)',\sautojoin""| search search_id!=scheduler_*
| convert num(total_run_time) | eval user = if(user=""n/a"", null(), user)
| stats min(_time) as _time first(user) as user max(total_run_time) as total_run_time first(search) as search by search_id
| search search!=*_internal*  search!=*_audit*
| chart sum(total_run_time) as ""Total search time"" count as ""Search count"" max(_time) as ""Last use"" by user
| fieldformat ""Last use"" = strftime('Last use', ""%F %T.%Q"")",0
"SPL-301","Shows what user did what over time and what was the outcome","audit,user",Internal,,"index=_audit | table _time user action info",0
"SPL-302","Splunk Errors","errors,splunkd",Internal,,"index=_internal  error  NOT debug source=*splunkd.log*",0
"SPL-303","Top Five Sourcetypes",,Sourcetypes,,"index=_internal (source=*/metrics.log* OR source=*\\metrics.log*) group=per_sourcetype_thruput
| chart sum(kb) by series
| sort -sum(kb)
| head 5",0
"SPL-304","Calculate Event Data Sizes","event,pwn",Internal,,"index=_internal earliest=""-d@d"" latest=""@d""
| fieldsummary
| rex field=values max_match=100 ""value\"":\""(?<foo>[^\""]*)\"",""
| mvexpand foo
| eval foo_len=len(foo)
| rex field=field ""^(?!date|punct|host|hostip|index|linecount|source|sourcetype|timeendpos|timestartpos|splunk_server)(?<Field>.*)""
| stats max(foo_len) as Bytes values(foo) as Values by Field,count
| eval SpaceMB=(Bytes*count)/1024/1023
| rename count as Count
| table Field Bytes Count SpaceMB
| sort -SpaceMB",0
"SPL-305","Comparing Stats Time Over Time","bin,compare,stats",Miscellaneous,,"index=_internal earliest=-48h latest=-24h
| bin _time span=10m
| stats count by _time
| eval window=""yesterday""
| append
[search index=_internal earliest=-24h
| bin _time span=10m
| stats count by _time
| eval window=""today""
| eval _time=(_time-(60*60*24))]
| timechart span=10m sum(count) by window",0
"SPL-306","Number of users who can run real-time searches","audit,search,user",Internal,,"index=_internal host=acdc-sec-splk-shcp2.cdc.gov source=*metrics.log group=search_concurrency ""system total"" NOT user=*
| timechart max(active_realtime_searches) AS ""Max Real-Time Searches""",0
"SPL-307","Counted against license",license,Internal,,"index=_internal source=* license_usage.log type=Usage
| stats sum(b) as bytes by date_wday, date_mday, date_month, idx
| eval GB = round(bytes/1024/1024/1024,5)
| table date_wday, date_mday, date_month, GB, idx",0
"SPL-308","Splunk License Usage Over the Last 30 Days",license,Internal,,"index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d
| eval _time=_time - 43200
| bin _time span=1d
| stats latest(b) AS b by slave, pool, _time
| timechart span=1d sum(b) AS ""volume"" fixedrange=false
| join type=outer _time [search index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d
| eval _time=_time - 43200
| bin _time span=1d
| stats latest(stacksz) AS ""stack size"" by _time]
| fields - _timediff
| foreach * [eval FIELD=round('FIELD'/1024/1024/1024, 3)]",0
"SPL-309","License Usage Data Cube",license,Internal,,"index=_internal source=*license_usage.log type=""Usage""
| eval h=if(len(h)=0 OR isnull(h),""(SQUASHED)"",h)
| eval s=if(len(s)=0 OR isnull(s),""(SQUASHED)"",s)
| eval idx=if(len(idx)=0 OR isnull(idx),""(UNKNOWN)"",idx)
| bin _time span=1d
| stats sum(b) as b by _time, pool, s, st, h, idx",0
"SPL-310","Top 5 License Consuming Hosts","license,pwn",Licensing,"The following Splunk search query will return the top five licensing consuming hosts:","index=_internal source=*license_usage.log type=""Usage""
| stats sum(b) AS volume by h
| eval  GB=round(volume/1024/1024/1024,5)
| table h GB
| sort 5 - GB",0
"SPL-311","License Usage by Index per Day","license,pwn",Licensing,"The following Splunk search query will output license usage for each index for each day for the week to date. It will also output an average for each index over the course of the given time period.","index=_internal source=*license_usage.log type=""Usage"" splunk_server=* earliest=-1w@d
| eval Date=strftime(_time, ""%Y/%m/%d"")
| eventstats sum(b) as volume by idx, Date
| eval MB=round(volume/1024/1024,5)
| timechart first(MB) AS volume by idx",0
"SPL-312","Data Consumption",license,Internal,,"index=_internal source=*license_usage.log type=Usage
| eval GB = b/1024/1024/1024
| timechart sum(GB) as GBytes
| streamstats sum(GBytes) as GB_Used
| predict GB_Used as GB_Expected algorithm=LLT future_timespan=14
| fields – Gbytes",0
"SPL-313","Spread out scheduled searches","audit,search",Internal,,"index=_internal source=*metrics.log group=searchscheduler
| timechart partial=false span=10m sum(dispatched) AS Started sum(skipped) AS Skipped",0
"SPL-314","Are my forwarders connecting to my receiver?",inputs,Other,"Which IP addresses are connecting to
Splunk as inputs, and how many times is each IP logged in metrics.log?","index=_internal source=*metrics.log* tcpin_connections
| stats count by sourceIp",0
"SPL-316","Base for Summary Indexing","indexing,optimization,summary",Dashboards,"For Dashboard Optimization","index=_internal source=*splunkd_access.log
| bucket _time span=1h
| sistats avg(some) by _time, method, status
| addinfo
| collect index=",0
"SPL-317","Search to end all errors. Identifies frequently occurring errors in your splunk instance","errors,pwn",Errors,"LSS knocking out the top 10 on this list will make your splunk instance very happy.","index=_internal sourcetype=""splunkd"" log_level=""ERROR""
| stats sparkline count dc(host) as hosts last(_raw) as last_raw_msg values(sourcetype) as sourcetype last(_time) as last_msg_time first(_time) as first_msg_time values(index) as index by punct
| eval delta=round((first_msg_time-last_msg_time),2)
| eval msg_per_sec=round((count/delta),2)
| convert ctime(last_msg_time) ctime(first_msg_time)
| table last_raw_msg count hosts sparkline msg_per_sec sourcetype index first_msg_time last_msg_time delta
| sort -count",0
"SPL-318","Detailed list of Errors Per Host","error,errors,host,pwn,rest,splunkd",Errors,"The following Splunk search will return a detailed list (by message) of errors associated with hosts running a universal forwarder:","index=_internal sourcetype=""splunkd"" log_level=""ERROR""
| stats sparkline count dc(host) as uniqhosts last(message) as message last(_time) as last first(_time) as first by punct
| convert ctime(last) ctime(first)
| table message count uniqhosts sparkline first last
| sort -count
| rename message as ""Error Output"" count as Count uniqhosts as ""Number of Hosts"" first as ""First Occurance"" last as ""Most Recent Occurance""",0
"SPL-319","Ensure no scheduled searches are running on indexers","audit,searches",Internal,,"index=_internal sourcetype=scheduler result_count host!=acdc-sec-splk-shcp*
| extract pairdelim="","", kvdelim=""="", auto=f
| stats avg(result_count) min(result_count) max(result_count), sparkline(avg(result_count)) AS result_sparkline avg(run_time) min(run_time) max(run_time) sum(run_time) values(host) AS hosts count AS execution_count by savedsearch_name, app
| rename savedsearch_name AS title
| makemv delim="","" values(host)
| eval host_count=mvcount(hosts)
| makemv delim="","" hosts
| where app!=""TA-fire_brigade"" AND host_count > 1
| sort - ""avg(run_time)""",0
"SPL-320","Average Splunk Web requests by hour","activity,congestion,pwn,user",SPL,"This query is pretty awesome! It helped enlighten us to exactly when our splunk infrastructure is being hit with users.","index=_internal sourcetype=splunk_web_access
 [ rest / splunk_server=local
 | fields splunk_server
 | rename splunk_server as host ]
 | bin _time span=1d
 | stats count by date_hour _time
 | appendpipe [ fields _time
 | dedup _time
 | eval date_hour=mvrange(0,24,1)
 | eval count=0
 | mvexpand date_hour ]
 | stats sum(count) as count by date_hour _time
 | stats avg(count) as avg by date_hour
 | sort date_hour",0
"SPL-321","Large number of knowledge objects being pushed to the shcluster",audit,"Knowledge_Objects","Large number of knowledge objects being pushed to the shcluster.","index=_internal sourcetype=splunkd component=DistributedBundleReplicationManager bundle_file_size=*
| rex field=bundle_file_size ""(?<bundle_size>\d+)""
| eval bundle_size_mb=bundle_size/1024
| stats count max(bundle_size_mb) by host",0
"SPL-322","License Usage Forecast Model",license,Licensing,"The following query can be used for Splunk license capacity planning. It is only a prediction based on your current ingestion rate, and attempts to predict what your usage will be over the next 120 days. It is recommended not to use all time in your search, as the predict command takes quite a bit of […]","index=_internal todaysbytesindexed startdaysago=60
| eval GB_Indexed = todaysBytesIndexed/1024/1024/1024
| timechart span=1d avg(""GB_Indexed"")
| predict avg(""GB_Indexed"") future_timespan=120 as ""Forecast Index Rate""
| rename avg(""GB_Indexed"") as ""Current Index Rate""",0
"SPL-104","The idea is to tie ESA emails together by message id",email,GMC,,"index=email
| transaction internal_message_id dcid icid maxevents=100 maxspan=30s endswith=""Message finished""",0
"SPL-325","Qualys Active OS Vuln Count",qualys,Security,,"index=qualys HOSTVULN SEVERITY=3 OR 4 OR 5 TYPE=""CONFIRMED"" earliest=-30d@d
| dedup HOST_ID, QID | search STATUS!=""FIXED""
| join QID [search index=qualys QID_INFO PATCHABLE=1]
| join HOST_ID [search index=qualys HOSTSUMMARY: OS=""Windows*"" NOT ""Windows Server*""
| where cidrmatch(""10.128.0.0/9"", IP) ]
| stats count(QID) as #_Vulns by OS | sort -#_Vulns | addcoltotals #_Vulns",0
"SPL-326","Measure the delay between the time stamp of the events and the indexing time",delay,Internal,"The time that the indexer receives and processes the events, use the following method: Look at the delay in seconds per source for a particular host.","source=mysource host=myhost
| eval delay_sec=_indextime-_time
| timechart min(delay_sec) avg(delay_sec) max(delay_sec) by source",0
"SPL-327","Index Sizes","pwn,rest",Indexes,,"| rest /services/data/indexes
| eval currentDBSizeMB=tostring(currentDBSizeMB, ""commas"")
| eval totalEventCount=tostring(totalEventCount, ""commas"")
| eval frozenTimePeriodInHours=(frozenTimePeriodInSecs/60/60)
| table title splunk_server currentDBSizeMB frozenTimePeriodInHours maxTime minTime totalEventCount",0
"SPL-328","View audit trail information stored in the local audit index",audit,Internal,,"| audit",0
"SPL-329","Check indexers to see if web access is available","access,web",Internal,,"| btool web
| where app!=""learned"" AND ([| inputlookup assets.csv where search_group=""dmc_customgroup_Indexer""
| stats count by host
| fields + host
| rename host AS sos_server
| format])
|  stats dc(app) AS app_count count AS stanza_count sum(linecount) AS setting_count by sos_server
| eventstats mode(stanza_count) AS mode_st mode(setting_count) AS mode_lc mode(app_count) AS mode_app
| eval Status=if(mode_st!=stanza_count OR mode_lc!=setting_count OR mode_app!=app_count,""elevated!!!deviation found"", ""low!!!ok"")
| eval ""Application Deviation""=app_count-mode_app
| eval ""Setting Deviation""=setting_count-mode_lc
| eval ""Stanza Deviation""=stanza_count-mode_st
| fields - mode*
| rename sos_server AS Host app_count AS ""Unique Applications"" stanza_count AS ""Stanza Count"" setting_count AS ""Setting Count""
| sort Status",0
"SPL-330","Get a high level summary of your indexes (must be run on the indexer)",index,Internal,,"| dbinspect",0
